genres,first_release_date,name,slug,itad_id,release_price
"[8, 9, 32]",2014-03-24,Escape Goat 2,escape-goat-2,018d937f-1ac4-711f-95ca-5cee24a61a73,8
"[12, 31, 32]",2024-05-14,Dread Delusion,dread-delusion,018d937f-5328-7260-89d5-ac0c11f0826d,19.99
"[8, 9, 31, 32]",2008-07-31,PixelJunk Eden,pixeljunk-eden,018d937e-ff4c-722b-be25-eac9ddd7b8d9,9.99
"[8, 10, 14, 31, 32, 33]",2010-06-08,Joe Danger,joe-danger,018d937f-1069-728a-ab68-df3f6414fac1,14.99
"[12, 13, 15, 32]",2023-07-20,Lakeburg Legacies,lakeburg-legacies,018d937f-51d0-71f8-bae2-77219a5ad374,22.99
"[2, 9, 31]",2008-09-26,So Blonde,so-blonde,018d937f-062a-733f-9462-1029ea122772,9.95
[9],2010-11-16,Create,create,018d937e-f9c4-7045-aa6f-1477c6725380,19.99
"[4, 9, 12, 15, 16, 31, 32]",2020-12-21,Coromon,coromon,018d937f-3d1e-7316-a76b-5cf207edfabb,99.99
"[2, 9, 31]",2021-01-27,Ryte: The Eye of Atlantis,ryte-the-eye-of-atlantis,018d937f-47d7-70eb-a814-112a53273fee,19.99
"[31, 32]",2014-08-01,Eidolon,eidolon,018d937f-2e57-71f7-a7c2-0be8dc81ca65,12.5
"[10, 32]",2014-02-07,Little Racers Street,little-racers-street,018d937f-2423-72ed-aa93-e5dba96498c1,7.99
"[9, 31, 32]",2016-08-25,Pan-Pan,pan-pan,018d937f-2bd2-73ca-a136-678f75cf81ca,12.99
"[8, 9, 32]",2016-05-04,I and Me,i-and-me,018d937f-1c84-733f-a210-ed2d831d75ae,9.99
"[12, 15, 31, 32]",2022-05-26,Out There: Oceans of Time,out-there-oceans-of-time,018d937f-2efa-70d6-ada2-fc0288390672,24.99
"[5, 9, 12, 31]",2007-08-21,BioShock,bioshock,018d937f-00db-709e-9c93-c0c25174ca30,19.99
[14],2006-06-09,Sensible Soccer 2006,sensible-soccer-2006,018d937f-119e-7238-9079-f430709fa730,9.99
"[13, 32]",2020-07-30,Air Wars,air-wars,018d937f-4422-7081-b531-38bbd363c9af,24.99
"[5, 33]",2022-10-06,Maze Blaze,maze-blaze,018d937f-65dc-7022-a7f1-089484077d0a,9.99
"[12, 13, 31, 32, 34]",2021-10-14,Henchman Story,henchman-story,018d937f-4826-738d-94d6-c902fbaded2b,14.99
"[31, 32]",2014-07-07,Claire,claire,018d937f-296a-7315-8512-bad75f34ae5b,9.99
"[9, 31]",2014-01-03,Nightmares from the Deep: The Cursed Heart,nightmares-from-the-deep-the-cursed-heart,018d937f-17ec-73fc-8812-8c5cdf16707f,9.99
"[8, 31, 32]",2017-01-23,Nefarious,nefarious,018d937f-209e-706a-b634-e790c6ed30c2,14.99
"[15, 16, 35]",2017-03-09,The Elder Scrolls: Legends,the-elder-scrolls-legends,018d937f-018a-73e8-819d-bca77143a4f9,0
"[4, 15, 16, 24]",2016-10-04,Atlas Reactor,atlas-reactor,018d937e-e9f5-7005-b956-6029367884a0,19.99
"[13, 15, 32]",2018-11-29,Parkitect,parkitect,018d937e-f9d6-7025-9aba-a6b4f4e14900,29.99
"[8, 31, 32]",2015-01-20,Mimpi,mimpi,018d937f-33fc-7195-9b20-bebf9a747e32,2.99
"[12, 31, 32]",2016-06-02,Ara Fell,ara-fell,018d937f-29b5-73c0-aa4d-e3dd5a686d79,9.99
"[12, 15, 31]",2004-11-27,Dragon Quest VIII: Journey of the Cursed King,dragon-quest-viii-journey-of-the-cursed-king,018d937f-11fa-714b-981a-97572ad255e1,39.99
"[2, 9, 12, 31]",2009-05-24,Sherlock Holmes Versus Jack the Ripper,sherlock-holmes-versus-jack-the-ripper,018d937e-fd76-727f-97d1-aa2e2888827b,19.99
"[5, 32]",2014-10-21,Screencheat,screencheat,018d937f-09a6-72ee-9ede-46c506159b8d,14.99
